class,image_id,choice,age,time
AI,AI_image_fx_a_woman_on_a_horse_wrangling_a_cow_in_a_pen_.jpg,REAL,23,3.936843474435477
REAL,REAL_000000519942.jpg,REAL,23,3.4584495504846293
AI,AI_image_fx_a_black_dog_waits_on_the_grass_for_a_falling.jpg,REAL,23,2.0139036891186373
AI,AI_image_fx_a_large_crowd_of_people_stand_outside_in_fron.jpg,REAL,23,3.1759102772249275
REAL,REAL_000000256787.jpg,REAL,23,3.284599590283209
REAL,REAL_000000257060.jpg,REAL,23,2.5856529400891413
AI,AI_image_fx_a_model_of_an_oldlooking_town_in_some_herita.jpg,REAL,23,3.4297667384144215
REAL,REAL_1021332107.jpg,REAL,23,3.661275902126288
AI,AI_image_fx_the_metro_just_pulled_up_and_its_doors_are_op.jpg,REAL,23,3.6066958141097465
AI,AI_image_fx_people_standing_at_a_beach_with_cameras_.jpg,REAL,24,3.0967120600490774
AI,AI_image_fx_the_man_is_enjoying_a_snack_at_the_park.jpg,REAL,24,2.175778235735067
AI,AI_image_fx_a_motorcycle_races_along_a_deserted_road_wher.jpg,REAL,24,3.3735340142787087
REAL,REAL_000000519874.jpg,AI,24,2.395805488433513
REAL,REAL_000000256965.jpg,REAL,24,3.232061148455042
REAL,REAL_000000256841.jpg,REAL,24,3.3227014600559057
AI,AI_image_fx_a_woman_engaged_in_a_cell_phone_conversation.jpg,REAL,23,2.477484171815597
AI,AI_image_fx_man_in_white_shirt_and_black_cap_hands_out_fo.jpg,REAL,23,3.6430153355943493
REAL,REAL_000000519845.jpg,REAL,23,2.4366268745632764
REAL,REAL_000000522492.jpg,REAL,23,3.367509663526602
AI,AI_image_fx_a_woman_and_man_are_packing_money_into_square.jpg,REAL,23,2.9437293524190298
REAL,REAL_1005216151.jpg,REAL,23,3.5946275689679514
REAL,REAL_101262930.jpg,REAL,23,3.6973451204325802
AI,AI_image_fx_these_chefs_are_making_facial_and_finger_gest.jpg,REAL,23,3.9454562481074054
AI,AI_image_fx_a_white_frosted_birthday_cake_with_flowers_ma.jpg,REAL,25,2
REAL,REAL_000000257875.jpg,REAL,25,2
AI,AI_image_fx_four_men_with_excited_faces_are_jumping_down.jpg,REAL,25,2
REAL,REAL_000000316107.jpg,REAL,25,2
REAL,REAL_106959209.jpg,REAL,25,2
AI,AI_image_fx_a_clock_tower_with_a_hallway_through_it.jpg,REAL,25,2
AI,AI_image_fx_a_woman_sitting_down_on_steps__writing_somet.jpg,REAL,25,2
REAL,REAL_000000256713.jpg,REAL,25,2
AI,AI_image_fx_there_is_a_bench_that_is_next_to_many_plants.jpg,REAL,25,2
REAL,REAL_000000518981.jpg,REAL,25,2
AI,AI_image_fx_two_men_sit_on_the_floor_with_camping_equipme.jpg,REAL,22,2
AI,AI_image_fx_woman_in_zebra_print_top_and_tight_jeans_stan.jpg,REAL,22,2
AI,AI_image_fx_a_two_door__hatchback_racing_car_is_turning.jpg,REAL,22,2
REAL,REAL_105806535.jpg,REAL,22,2
REAL,REAL_000000140020.jpg,REAL,22,2
AI,AI_image_fx_several_people_sitting_and_standing_on_a_gras.jpg,REAL,22,2
AI,AI_image_fx_a_book_and_a_laptop_sitting_on_a_desk_with_th.jpg,REAL,22,2
AI,AI_image_fx_a_modern_building_has_a_long_table_holding_ma.jpg,REAL,22,2
REAL,REAL_140774394.jpg,REAL,22,2
REAL,REAL_000000519064.jpg,REAL,22,2
REAL,REAL_000000519193.jpg,REAL,23,2
REAL,REAL_000000265719.jpg,REAL,23,2
AI,AI_image_fx_a_group_of_9_men_and_women_walking_upstairs_.jpg,REAL,23,2
AI,AI_image_fx_a_man_and_child_kayak_through_gentle_waters.jpg,REAL,23,2
AI,AI_image_fx_a_woman_in_a_gray_shirt_is_sitting_.jpg,REAL,23,2
AI,AI_image_fx_two_motorcycles_one_red_one_blue_next_to_each.jpg,REAL,23,2
REAL,REAL_000000518555.jpg,REAL,23,2
AI,AI_image_fx_a_dog_in_an_open_doorway_with_a_pile_of_green.jpg,REAL,23,2
AI,AI_image_fx_man_cycling_past_the_chung_may_food_market_.jpg,REAL,23,2
REAL,REAL_1027149103.jpg,REAL,23,2
AI,AI_image_fx__man_is_flipping_an_omelet_or_pancake_in_the.jpg,REAL,23,2
REAL,REAL_000000256617.jpg,REAL,23,2
REAL,REAL_000000519157.jpg,REAL,23,2
REAL,REAL_000000518957.jpg,REAL,23,2
REAL,REAL_000000256860.jpg,REAL,23,2
AI,AI_image_fx_man_in_white_shirt_and_black_cap_hands_out_fo.jpg,REAL,23,2
AI,AI_image_fx_a_man_and_a_woman_outside_subways_picking_up.jpg,REAL,23,2
AI,AI_image_fx_a_fake_mouse_is_in_a_box_of_doughnuts.jpg,REAL,23,2
AI,AI_image_fx_a_man_in_a_brown_shirt_and_jeans_kneels_with.jpg,REAL,23,2
REAL,REAL_140770875.jpg,REAL,23,2
REAL,REAL_000000518574.jpg,AI,20,3.865178985114451
REAL,REAL_000000256617.jpg,AI,20,3.402786387220892
REAL,REAL_000000257893.jpg,AI,20,3.191369717294229
AI,AI_image_fx_a_professional_hockey_player_is_jumping_above.jpg,REAL,20,3.540689452336985
AI,AI_image_fx_a_closeup_of_a_man_holding_his_hands_up_in_th.jpg,REAL,20,2.554448868801088
REAL,REAL_000000001271.jpg,REAL,20,3.8027409064128337
AI,AI_image_fx_a_colorfully_dressed_young_man_with_visible_s.jpg,REAL,20,2.4034392885125557
REAL,REAL_000000257813.jpg,REAL,20,3.6381029912558946
AI,AI_image_fx_man_working_behind_a_hotdog_stand_.jpg,AI,20,2.4166929343227435
AI,AI_image_fx_whole_foods_hosts_a__city_picnic__.jpg,REAL,20,3.8064119850882037
AI,AI_image_fx_an_old_man_sits_.jpg,AI,20,3.912331140285899
REAL,REAL_000000522639.jpg,REAL,20,3.8068697347491476
REAL,REAL_000000020641.jpg,AI,20,3.6604685252931377
REAL,REAL_000000260481.jpg,REAL,20,2.2097988511343925
REAL,REAL_000000222628.jpg,AI,20,3.937038713717108
AI,AI_image_fx_the_hut_is_sparse_containing_a_cot_and_a_few.jpg,REAL,20,2.1042260830195585
AI,AI_image_fx_a_meal_including_cooked_carrots_and_a_glass_o.jpg,AI,20,3.876998020552878
AI,AI_image_fx_people_visiting_a_stadium_.jpg,REAL,20,2.785382968914802
REAL,REAL_000000460676.jpg,AI,20,2.242947231857132
AI,AI_image_fx_a_man_in_a_pink_robe_gets_his_hair_trimmed_.jpg,REAL,20,3.669748468462392
AI,AI_image_fx_a_pizza_sitting_on_top_of_a_white_plate_on_a.jpg,AI,20,3.1220338989373833
REAL,REAL_000000256819.jpg,REAL,20,3.611539025217493
AI,AI_image_fx_a_photo_of_a_korean_cooking_product_of_oil.jpg,AI,20,3.9800416796134357
REAL,REAL_000000256589.jpg,AI,20,3.9800416796134357
AI,AI_image_fx_a_very_elaborate_cake_decorated_to_look_like.jpg,REAL,20,3.3592015791750893
AI,AI_image_fx_a_picture_of_an_old_clock_tower_downtown.jpg,REAL,20,2.5098989175608897
REAL,REAL_000000519758.jpg,REAL,20,2.8624659277445463
AI,AI_image_fx_a_woman_on_a_horse_wrangling_a_cow_in_a_pen_.jpg,REAL,20,3.9406578627602684
AI,AI_image_fx_several_people_ride_an_elephant_on_a_trail_in.jpg,AI,20,3.6270793138768793
REAL,REAL_000000233348.jpg,REAL,20,2.919175235106252
REAL,REAL_000000411642.jpg,AI,20,3.463993100943652
REAL,REAL_845047334.jpg,REAL,20,2.9829909084998385
REAL,REAL_000000257490.jpg,AI,20,2.739113710986674
REAL,REAL_000000256549.jpg,REAL,20,3.548718666154317
REAL,REAL_1007205537.jpg,AI,20,3.701811136166954
AI,AI_image_fx_a_man_in_an_orange_shirt_is_raising_his_golf.jpg,AI,20,2.3623240455352588
